Authors,Title,Year,Venue,Topic model,Supported task,Details of the supported task,Type of data,Document,Length of document,Parameter k,Parameter alpha,Parameter beta,Other parameters,Resolving negations,Correcting typos,Expanding contractions,Resolving synonyms,Splitting sentences or a document into n documents,Lemmatizing,Identifying n-grams,Lowercasing,Tokenizing,Splitting words,Stemming,Removing empty documents,Removing long paragraphs,Removing extra white space,Removing non-informative content,"Removing words shorter than four, three or two letters",Removing least frequent terms,Removing most frequent terms,Removing code snippets,Removing HTML tags,Removing programming language keywords,Removing symbols and special characters,Removing punctuation,Removing stop words,Remove URL,Remove numbers,Topic naming approach,Topic naming procedure
"B. Dit, M. Revelle, and D. Poshyvanyk","Integrating information retrieval, execution and link analysis algorithms to improve feature location in software",2013,ESE,LSI,Documentation,Localization [features],Source code and Search query,Text with several methods of a software; Text with a collection of search queries used in software repository,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,
"Hindle, A; Ernst, N A; Godfrey, M W; Mylopoulos, J",Automated topic naming: supporting cross-project analysis of software maintenance activities,2013,ESE,LDA,Documentation,Documentation [artifacts labelling],Commit messages,Text with commit comments posted in a 30-day period,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,Mixed,Predetermined labels
"Xia, X; Bao, L; Lo, D; Kochhar, P S; Hassan, A E; Xing, Z",What do developers search for on the web?,2017,ESE,LDA,Exploratory study,Exploring information needs in developer communication,Search query,"Text with a search query (i.e., ""how to use git"")",,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pagano, D; Maalej, W",How do open source communities blog?,2013,ESE,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a blog post,"Average of 273 words. ""Over 95% of all posts are shorter than 1,000 words, which corresponds to four printed pages""",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Authors' deduction based on word clusters
"Canfora, G; Cerulo, L; Cimitile, M; Di Penta, M",How changes affect software entropy: an empirical study,2014,ESE,LDA,Refactoring,Refactoring,Commit messages,Text with a commit comment,Median of 9 to 20 words considering all projects,10,,,,,,,,,,,,,,x,,,,,,,,,,x,x,,x,,,,
"Noei, E; Zhang, F; Wang, S; Zou, Y",Towards prioritizing user-related issue reports of mobile applications,2019,ESE,LDA,Bug handling,Prioritization [bugs],End user communication,Text with a user review,,,,,,x,x,,x,,,x,,,,x,,,,x,,,,,,,,,x,,,Manual,Authors' deduction based on word clusters
"Ahasanuzzaman, M; Asaduzzaman, M; Roy, C K; Schneider, K A",CAPS: a supervised technique for classifying Stack Overflow posts concerning API issues,2019,ESE,LDA (GS),Bug handling,Localization [concerns],Developer communication,Text with a Stack Overflow post related to an issue,,40,50/k,0.01,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
"Hu, H; Wang, S; Bezemer, C; Hassan, A E",Studying the consistency of star ratings and reviews of popular free hybrid Android and iOS apps,2019,ESE,Twitter-LDA,Maintenance,Maintenance [versions consistency],End user communication,Text with a user review,"Average of characteres for user review: iOS 155,  Android 65",10,,,i = 1000,,,,,,,,x,,,x,,,,,,,,,,,,x,x,,,,
"Hindle, A; Bird, C; Zimmermann, T; Nagappan, N",Do topics make sense to managers and developers?,2015,ESE,LDA,Bug handling,Localization [concerns],End user documentation,Text with a requirement document,"""The average document was 20 pages long with an average word count of 3,800""",20,0.1,0.1,i = 1000,,,,,,,,,,,x,,,,,,,,,,,,,x,,,Manual,Authors' deduction based on word clusters
"Choetkiertikul, M; Dam, H K; Tran, T; Ghose, A",Predicting the delay of issues with due dates in software projects,2017,ESE,LDA,Bug handling,Prediction [defects],Issue/bug report,Text with an issue description,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ye, D; Xing, Z; Kapre, N",The structure and dynamics of knowledge network in domain-specific Q&A sites: a case study of stack overflow,2017,ESE,LDA,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post (or knowledge unit),,10,,,i = 1000,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,
"Bajracharya, S K; Lopes, C V",Analyzing and mining a code search engine usage log,2012,ESE,LDA,Exploratory study,Exploring information needs in developer communication,Search query,Text with a collection of queries made by a user,,50,0.5,0.1,,,,,,,,,x,,x,,,,,,,,,x,,,x,,,,,Manual,Predetermined labels
"Li, H; Chen, T H (P); Shang, W; Hassan, A E",Studying software logging using topic models,2018,ESE,LDA (GS),Maintenance,Maintenance [system usage/behavior],Source code,Text with a method,,50,50/k,0.01,i = 10000,,,,,,,x,,x,,x,,,,,,,,,,x,,,x,,,Manual,Most frequent words in word clusters
"Thomas, S W; Hemmati, H; Hassan, A E; Blostein, D",Static test case prioritization using topic models,2014,ESE,LDA (GS),Testing,Prioritization [test cases],Source code,Text with a test case,,"(1) 42, (2) 39, (3) 42, (4) 48, (5) 21",0.1,0.1,i = 200,,,,,,,,,,x,x,,,,,,,,,,x,x,,x,,x,,
"Le, T B; Thung, F; Lo, D",Will this localization tool be effective for this bug? Mitigating the impact of unreliability of information retrieval based bug localization tools,2017,ESE,LDA,Bug handling,Prioritization [bugs],Issue/bug report,Text with a bug report (description and summary),,"{5, 10, 15}",,,,,,,,,,,,,x,x,,,,,,,,,,,x,x,x,,,,
"McIlroy, S; Ali, N; Khalid, H; Hassan, A E",Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews,2016,ESE,LLDA,Bug handling,Localization [concerns],End user communication,Text containing a user review (title and comment),"Not mentioned. ""Average of characteres for user review: iOS 155,  Android 65"" - from H34",30,0.1,0.1,i = 1500,,x,x,,,,,,,,x,,,,,,x,,,,,x,,,,x,Automated,Predetermined labels
"Barua, A; Thomas, S W; Hassan, A E",What are developers talking about? An analysis of topics and trends in Stack Overflow,2014,ESE,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post,"""Posts length vary between 1 and 3,844 words. The majority of the posts (99.7%) are less than 500 words""",40,50/k,0.01,i = 500,,,,,,,,,,,x,,,,,,,,x,x,x,,,x,,,Manual,Authors' deduction based on word clusters
"Nayebi, M; Cho, H; Ruhe, G",App store mining is not enough for app improvement,2018,ESE,LDA (GS),Bug handling,Localization [concerns],End user communication,Text with a user review,"""Google play: The average length of reviews in our dataset is 97 words with the median being 92 words. Twitter: The average length of tweets in our dataset is 28 words with the median being 34 words""","{85, 170}",,,gamma = 0.6,,,,,,x,,,,,,,,,x,,,,,,,,,x,,,,
"Rosen, C; Shihab, E",What are mobile developers asking about? A large scale study using stack overflow,2016,ESE,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text containing a Stack Overflow title,,40,50/k,0.01,"i = 10, 20, 900",,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Authors' deduction based on word clusters
"Zhang, Y; Lo, D; Xia, X; Scanniello, G; Le, T B; Sun, J",Fusing multi-abstraction vector space models for concern localization,2018,ESE,LDA-GA,Bug handling,Localization [concerns],Source code,Text with a method,,100,50/k,0.01,i = 1000,,,,,,,,,,x,x,,,,,,,,x,,x,x,x,x,,,,
"Bavota, G; Gethers, M; Oliveto, R; Poshyvanyk, D; De Lucia, A",Improving Software Modularization via Automated Analysis of Latent Topics and Dependencies,2014,TOSEM,RTM,Refactoring,Refactoring,Source code,Text of a class,,75,0.1,1,eta = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiang, H; Zhang, J; Li, X; Ren, Z; Lo, D; Wu, X; Luo, Z",Recommending New Features from Mobile App Descriptions,2019,TOSEM,LDA,Requirements,Recommendation [new features],End user documentation,Text with an app description,,60,0.1,0.1,,,,,,,,,,x,x,x,,,,,,,,,,,,,x,,,,
"Belle, A B; Boussaidi, G E; Kpodjedo, S",Combining lexical and structural information to reconstruct software layers,2016,IST,LDA (GS),Architecting,Architecture recovery,Source code,Text with a package of keywords,,{10-50 by 5},50/k,0.01,i = 1000,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,
"Zou, J; Xu, L; Yang, M; Zhang, X; Yang, D",Towards comprehending the non-functional requirements through Developers’ eyes: An exploration of Stack Overflow using topic analysis,2017,IST,LDA (GS),Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow post (title and body),,20,2.5,0.01,i = 1000,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,Manual,Predetermined labels
"Sun, X; Li, B; Leung, H; Li, B; Li, Y",MSR4SM: Using topic models to effectively mining software repositories for software maintenance tasks,2015,IST,LDA-GA,Maintenance,Maintenance [tasks],Source code and Developer communication,Text with a bug report; Text with an e-mail,,"(1) 102, (2) 324, (3) 55, (4) 496",,,,,,,,,,,,,,,,,,x,,,,,,x,,x,x,,x,,
"Pettinato, M; Gil, J P; Galeas, P; Russo, B",Log mining to re-construct system behavior: An exploratory study on a large telescope system,2019,IST,LDA,Maintenance,Maintenance [system usage/behavior],Log information,Text with a group of abstract messages that correspond to an SB (Scheduling Blocks),95 messages (test data set) and 221 messages (validation data set) average,9,50/k,0.1,,,,,,,,,x,,,x,,,,,x,,,,,,,x,x,,x,Manual,Authors' deduction based on word clusters
"Yang, X; Lo, D; Li, L; Xia, X; Bissyandé, T F; Klein, J",Characterizing malicious Android apps by mining topic-specific data flow signatures,2017,IST,LDA-GA,Architecting,Detection of malicious behavior,End user documentation,Text with an app description,,118,,,,,,,,,,,,x,,x,,,,,,,,,,,x,x,x,,x,Manual,Authors' deduction based on word clusters
"Abdellatif, T M; Capretz, L F; Ho, D",Automatic recall of software lessons learned for software project managers,2019,IST,LDA (GS); VSM; LSI,Maintenance,Maintenance [lessons learned],Issue/bug report and Lessons learned,Text with an issue description and its related lessons learned descriptions,,"{32, 64, 128, 256}",,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
"Lukins, S K; Kraft, N A; Etzkorn, L H",Bug localization using latent Dirichlet allocation,2010,IST,LDA (GS),Bug handling,Localization [bugs],Source code,Text with a method,,"{50, 100, 200, 250, 500}",50/k,0.01,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
"Souza, L B L; Campos, E C; Madeiral, F; Paixão, K; Rocha, A M; Maia, M A",Bootstrapping cookbooks for APIs from crowd knowledge on Stack Overflow,2019,IST,LDA (GS),Documentation,Documentation [extraction/augmenting],Developer communication,Text with a Stack Overflow post (entire question and all answers related),,15,,,,,,,,,,,,,,x,,,,,,,,x,x,x,,,x,,,,
"Cao, B; Liu, X (F); Liu, J; Tang, M",Domain-aware Mashup service clustering based on LDA topic model from multiple data sources,2017,IST,DAT-LDA (GS),Architecting,Architecture [mashup-service selection],Developer documentation,Text with a mashup service info,,{2-39},0.01,0.01,i = 2000,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,
"Tantithamthavorn, C; Abebe, S L; Hassan, A E; Ihara, A; Matsumoto, K",The impact of IR-based classifier configuration on the performance and the effort of method-level bug localization,2018,IST,LDA (GS); VSM; LSI,Bug handling,Localization [bugs],"Issue/bug report, Commit messages and Source code",Text with a bug report (description of a bug and affected entities); Text with several methods of a software,Bug report - 127 words (Eclipse) and 146 words (Mozilla) average; Method - 14 words (Eclipse) and 35 words (Mozilla) average ,"{32, 64, 128, 256}",,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,
"Yan, M; Zhang, X; Yang, D; Xu, L; Kymer, J D",A component recommender for bug reports using Discriminative Probability Latent Semantic Analysis,2016,IST,DPLSA-JS,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with a bug report,,{10-120 by 10},50/k,0.1,,,,,,x,,,,,x,x,,,,x,,,,,,,,,x,,,Automated,Predetermined labels
"Ying Fu, Meng Yan, Xiaohong Zhang, Ling Xu, Dan Yang, Jeffrey D. Kymer",Automated classification of software change messages by semi-supervised Latent Dirichlet Allocation,2015,IST,Semi-supervised LDA,Bug handling,Localization [concerns],Commit messages,Text with a change message,,3,50/k,0.01,,,,,,x,,,,,x,x,,,,x,,,,,,,,,x,,,Automated,Predetermined labels
"Liu, Y; Liu, L; Liu, H; Wang, X; Yang, H",Mining domain knowledge from app descriptions,2017,JSS,O-LDA,Documentation,Localization [features],End user documentation,Text with an app description,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,
"Zhang, T; Chen, J; Yang, G; Lee, B; Luo, X",Towards more accurate severity prediction and fixer recommendation of software bugs,2016,JSS,LDA,Bug handling,Prediction [defects] & Bug-fix assignment,Issue/bug report,Text with a bug report,,30,0.01,0.01,i = 1500,,,,,,,,,x,x,x,,,,,,,,,,,,,x,,,,
"Catolino, G; Palomba, F; Zaidman, A; Ferrucci, F","Not all bugs are the same: Understanding, characterizing, and classifying bug types",2019,JSS,LDA-GA,Bug handling,Triaging/characterization [bugs],Issue/bug report,Text with a bug report,,,,,,,x,x,,,,,x,,x,x,,,,,,,,,,x,x,,x,,,,
"Sun, X; Yang, H; Xia, X; Li, B",Enhancing developer recommendation with supplementary information via mining historical commits,2017,JSS,CTM,Bug handling,Bug-fix assignment,Source code and Commit messages,Text with a source code information (classes and methods) and text with commit messages of a developer,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,x,,,,
"Chen, H; Coogle, J; Damevski, K",Modeling stack overflow tags and topics as a hierarchy of concepts,2019,JSS,LLDA; L2H,Exploratory study,Exploring information needs in developer communication,Developer communication,Text with a Stack Overflow question,50 to 400 words,3,10,1000,"γ1 = 0.9, γ2 = 0.1",,,,,,,x,,,,,,,,,,x,x,,,,,,x,,,Automated,Predetermined labels
"Taba, S E S; Keivanloo, I; Zou, Y; Wang, S",An exploratory study on the usage of common interface elements in android applications,2017,JSS,LDA (GS),Coding,Reuse [user interface templates],Source code,Text with strings and labels from a UI XML layout file,,9,50/k,0.01,i = 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,Predetermined labels
"Chen, T; Shang, W; Nagappan, M; Hassan, A E; Thomas, S W",Topic-based software defect explanation,2017,JSS,LDA (GS),Bug handling,Triaging/characterization [bugs],Source code,Text with source code (classes and methods) file of a software version,,500,50/k,0.01,"gamma = 0.01, i = 10000",,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,
"Silva, L L; Valente, M T; Maia, M A",Co-change patterns: A large scale empirical study,2019,JSS,LDA (GS),Maintenance,Maintenance [system modularity],Log information,Text with a log message,,30,50/k,0.01,,,,,,,,,x,x,,,,,,,,,,,,,,x,x,,,,
"Nabli, H; Djemaa, R B; Amor, I A B",Efficient cloud service discovery approach based on LDA topic modeling,2018,JSS,LDA,Architecting,Architecture [cloud service selection],URL content,Text with a URL address,,20,0.01,0.01,,,,,,,,,x,,,x,,,,,,,,,,,x,x,x,,,,
"Altarawy, D; Shahin, H; Mohammed, A; Meng, N",Lascad: Language-agnostic software categorization and similar application detection,2018,JSS,LDA,Coding,Detection of similar funcionalities,Source code,Text with several methods identifiers; Text with several comments of a source code file,,50,,,cat _ num = 20,,,,,,,,,,x,,,,,,,x,x,,,x,,,x,,,,
"Yan, M; Fu, Y; Zhang, X; Yang, D; Xu, L; Kymer, J D",Automatically classifying software changes via discriminative topic model: Supporting multi-category and cross-project,2016,JSS,DPLSA,Maintenance,Maintenance [software changes],Commit messages,Text with a change message,,3,50/k,0.01,i = 100,,,,,x,,,,,x,x,,,,,,,,,,,,,x,,,Automated,Predetermined labels
